event_id,event_key,asset_id,asset_key,action,direction
evt_mem_evt_20220624_trade_chandler_2022_06_24_trade_a5f3307723,evt_20220624_trade_chandler,ast_mem_pick_2024_2_lal_b7728c1268,pick_2024_2_lal,relinquish,incoming
evt_mem_evt_20220624_trade_chandler_2022_06_24_trade_a5f3307723,evt_20220624_trade_chandler,ast_mem_player_kennedy_chandler_54b026578a,player_kennedy_chandler,acquire,outgoing
evt_mem_evt_20220624_trade_laravia_2022_06_24_trade_2172abbf6c,evt_20220624_trade_laravia,ast_mem_pick_2022_1_22_mem_4a1aee6810,pick_2022_1_22_mem,relinquish,incoming
evt_mem_evt_20220624_trade_laravia_2022_06_24_trade_2172abbf6c,evt_20220624_trade_laravia,ast_mem_pick_2022_1_29_mem_8250783ff8,pick_2022_1_29_mem,relinquish,incoming
evt_mem_evt_20220624_trade_laravia_2022_06_24_trade_2172abbf6c,evt_20220624_trade_laravia,ast_mem_pick_2023_2_in_from_min_utah_hou_9c554709ec,pick_2023_2_in_from_min_utah_hou,acquire,outgoing
evt_mem_evt_20220624_trade_laravia_2022_06_24_trade_2172abbf6c,evt_20220624_trade_laravia,ast_mem_pick_2023_2_min_c7e7be8179,pick_2023_2_min,relinquish,incoming
evt_mem_evt_20220624_trade_laravia_2022_06_24_trade_2172abbf6c,evt_20220624_trade_laravia,ast_mem_player_jake_laravia_7bb7c89164,player_jake_laravia,acquire,outgoing
evt_mem_evt_20220624_trade_melton_2022_06_24_trade_ca4de59eae,evt_20220624_trade_melton,ast_mem_player_danny_green_74d1c879e1,player_danny_green,acquire,outgoing
evt_mem_evt_20220624_trade_melton_2022_06_24_trade_ca4de59eae,evt_20220624_trade_melton,ast_mem_player_david_roddy_f66e9d4c45,player_david_roddy,acquire,outgoing
evt_mem_evt_20220624_trade_melton_2022_06_24_trade_ca4de59eae,evt_20220624_trade_melton,ast_mem_player_deanthony_melton_26e514f787,player_deanthony_melton,relinquish,incoming
evt_mem_evt_20220701_sign_laravia_2022_07_01_contrac_efe440ddbd,evt_20220701_sign_laravia,ast_mem_player_jake_laravia_7bb7c89164,player_jake_laravia,modify,outgoing
evt_mem_evt_20220701_sign_lofton_2022_07_01_contract_53352675bf,evt_20220701_sign_lofton,ast_mem_player_kenny_lofton_jr_6a5c74021a,player_kenny_lofton_jr,acquire,outgoing
evt_mem_evt_20220701_sign_roddy_2022_07_01_contract__aa2bd845e7,evt_20220701_sign_roddy,ast_mem_player_david_roddy_f66e9d4c45,player_david_roddy,modify,outgoing
evt_mem_evt_20220702_end_terry_two_way_2022_07_02_co_52f87d8d1a,evt_20220702_end_terry_two_way,ast_mem_player_tyrell_terry_5775e97e56,player_tyrell_terry,terminate,incoming
evt_mem_evt_20220702_sign_vince_two_way_2022_07_02_c_bb7429b4ec,evt_20220702_sign_vince_two_way,ast_mem_player_vince_williams_jr_904db7a1ac,player_vince_williams_jr,acquire,outgoing
evt_mem_evt_20220706_ext_morant_2022_07_06_extension_40a0fefa33,evt_20220706_ext_morant,ast_mem_player_ja_morant_cd090610e1,player_ja_morant,modify,outgoing
evt_mem_evt_20220706_re_sign_tyus_2022_07_06_re_sign_78ff4826eb,evt_20220706_re_sign_tyus,ast_mem_player_tyus_jones_d162fd9352,player_tyus_jones,modify,outgoing
evt_mem_evt_20220706_sign_chandler_2022_07_06_contra_b0cba524ca,evt_20220706_sign_chandler,ast_mem_player_kennedy_chandler_54b026578a,player_kennedy_chandler,modify,outgoing
evt_mem_evt_20220707_ext_konchar_2022_07_07_extensio_8af6a02fc9,evt_20220707_ext_konchar,ast_mem_player_john_konchar_bfb540fa8d,player_john_konchar,modify,outgoing
evt_mem_evt_20220923_sign_gilyard_2022_09_23_contrac_6e990792bd,evt_20220923_sign_gilyard,ast_mem_player_jacob_gilyard_26e10dd365,player_jacob_gilyard,acquire,outgoing
evt_mem_evt_20220923_sign_justin_bean_2022_09_23_con_f5a6070232,evt_20220923_sign_justin_bean,ast_mem_player_justin_bean_7ede504087,player_justin_bean,acquire,outgoing
evt_mem_evt_20221001_ext_adams_2022_10_01_extension_4205fa577f,evt_20221001_ext_adams,ast_mem_player_steven_adams_ab4485159b,player_steven_adams,modify,outgoing
evt_mem_evt_20221010_sign_hurt_2022_10_10_contract_s_dbac3b88e8,evt_20221010_sign_hurt,ast_mem_player_matthew_hurt_ef714b6be1,player_matthew_hurt,acquire,outgoing
evt_mem_evt_20221010_sign_mcdermott_2022_10_10_contr_5f4c8e092c,evt_20221010_sign_mcdermott,ast_mem_player_sean_mcdermott_768d2b8dc2,player_sean_mcdermott,acquire,outgoing
evt_mem_evt_20221010_waive_gilyard_2022_10_10_waiver_8d3ee58ccd,evt_20221010_waive_gilyard,ast_mem_player_jacob_gilyard_26e10dd365,player_jacob_gilyard,terminate,incoming
evt_mem_evt_20221010_waive_justin_bean_2022_10_10_wa_70d641cb5a,evt_20221010_waive_justin_bean,ast_mem_player_justin_bean_7ede504087,player_justin_bean,terminate,incoming
evt_mem_evt_20221013_sign_onu_2022_10_13_contract_si_9142e46a3c,evt_20221013_sign_onu,ast_mem_player_ej_onu_71dd912c8c,player_ej_onu,acquire,outgoing
evt_mem_evt_20221013_sign_weems_2022_10_13_contract__12eeb647b1,evt_20221013_sign_weems,ast_mem_player_romeo_weems_9091291fdd,player_romeo_weems,acquire,outgoing
evt_mem_evt_20221013_waive_hurt_2022_10_13_waiver_0d70307ef1,evt_20221013_waive_hurt,ast_mem_player_matthew_hurt_ef714b6be1,player_matthew_hurt,terminate,incoming
evt_mem_evt_20221013_waive_mcdermott_2022_10_13_waiv_e1ce0b896a,evt_20221013_waive_mcdermott,ast_mem_player_sean_mcdermott_768d2b8dc2,player_sean_mcdermott,terminate,incoming
evt_mem_evt_20221014_sign_mathias_2022_10_14_contrac_d71713d84c,evt_20221014_sign_mathias,ast_mem_player_dakota_mathias_9edc8c7ec5,player_dakota_mathias,acquire,outgoing
evt_mem_evt_20221014_waive_onu_2022_10_14_waiver_f54115a1cc,evt_20221014_waive_onu,ast_mem_player_ej_onu_71dd912c8c,player_ej_onu,terminate,incoming
evt_mem_evt_20221014_waive_weems_2022_10_14_waiver_c185664821,evt_20221014_waive_weems,ast_mem_player_romeo_weems_9091291fdd,player_romeo_weems,terminate,incoming
evt_mem_evt_20221015_waive_mathias_2022_10_15_waiver_60b0d783cc,evt_20221015_waive_mathias,ast_mem_player_dakota_mathias_9edc8c7ec5,player_dakota_mathias,terminate,incoming
evt_mem_evt_20221015_waive_tillie_2022_10_15_waiver_5332f329a1,evt_20221015_waive_tillie,ast_mem_player_killian_tillie_a016de8188,player_killian_tillie,terminate,incoming
evt_mem_evt_20221016_ext_clarke_2022_10_16_extension_5b69b38405,evt_20221016_ext_clarke,ast_mem_player_brandon_clarke_ba5a95433e,player_brandon_clarke,modify,outgoing
