edge_id,source_node_id,target_node_id,asset_id,asset_key,asset_type,subtype,start_date,end_date,is_active_at_end,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
edg_ast_mem_pick_2022_1_22_mem_4a1aee6810_state_star_1e28842d4f,state_start_mem_20220514,evt_mem_evt_20220624_trade_laravia_2022_06_24_trade_2172abbf6c,ast_mem_pick_2022_1_22_mem_4a1aee6810,pick_2022_1_22_mem,future_draft_pick,first_round,2022-05-14,2022-06-24,false,,,,,MEM,2022,22,,,,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2022_1_29_mem_8250783ff8_state_star_3aa924aefb,state_start_mem_20220514,evt_mem_evt_20220624_trade_laravia_2022_06_24_trade_2172abbf6c,ast_mem_pick_2022_1_29_mem_8250783ff8,pick_2022_1_29_mem,future_draft_pick,first_round,2022-05-14,2022-06-24,false,,,,,MEM,2022,29,,,,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2022_1_mem_a51f99fa5c_state_start_m_018856513e,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2022_1_mem_a51f99fa5c,pick_2022_1_mem,future_draft_pick,first_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2022,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2022_2_mem_2737bf6258_state_start_m_f19cc7ccbc,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2022_2_mem_2737bf6258,pick_2022_2_mem,future_draft_pick,second_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2022,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2023_1_mem_bf30dc251b_state_start_m_7c8ba744f9,state_start_mem_20220514,state_end_mem_20260226,ast_mem_pick_2023_1_mem_bf30dc251b,pick_2023_1_mem,future_draft_pick,first_round,2022-05-14,,true,,,,owned_pick_start_state,MEM,2023,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2023_2_in_from_min_utah_hou_9c55470_a2c6ef23e7,evt_mem_evt_20220624_trade_laravia_2022_06_24_trade_2172abbf6c,state_end_mem_20260226,ast_mem_pick_2023_2_in_from_min_utah_hou_9c554709ec,pick_2023_2_in_from_min_utah_hou,future_draft_pick,second_round,2022-06-24,,true,,,,trade,MIN/UTA/HOU,2023,,Multi-team second-round path via MIN/UTA/HOU,,,,"[""2022-06-24|trade|acquire""]"
edg_ast_mem_pick_2023_2_mem_a93026b251_state_start_m_c86013faf2,state_start_mem_20220514,evt_mem_evt_20230622_draft_gg_2023_06_22_draft_pick_397e2cb645,ast_mem_pick_2023_2_mem_a93026b251,pick_2023_2_mem,future_draft_pick,second_round,2022-05-14,2023-06-22,false,,,,owned_pick_start_state,MEM,2023,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2023_2_mem_rights_56_4edb564b87_sta_b8f7b0a2ac,state_start_mem_20220514,evt_mem_evt_20230622_draft_tarik_2023_06_22_draft_pi_4bb9c1cf6a,ast_mem_pick_2023_2_mem_rights_56_4edb564b87,pick_2023_2_mem_rights_56,future_draft_pick,second_round,2022-05-14,2023-06-22,false,,,,,MEM,2023,56,,,,,"[""2022-05-14|bootstrap_from_event|held""]"
edg_ast_mem_pick_2023_2_min_c7e7be8179_state_start_m_36ae05b94b,state_start_mem_20220514,evt_mem_evt_20220624_trade_laravia_2022_06_24_trade_2172abbf6c,ast_mem_pick_2023_2_min_c7e7be8179,pick_2023_2_min,future_draft_pick,second_round,2022-05-14,2022-06-24,false,,,,owned_pick_start_state,MIN,2023,,,,,,"[""2022-05-14|initial_state|held""]"
edg_ast_mem_pick_2024_1_gsw_d16229c661_state_start_m_ccf47c694f,state_start_mem_20220514,evt_mem_evt_20230623_trade_smart_2023_06_23_trade_382f758ca0,ast_mem_pick_2024_1_gsw_d16229c661,pick_2024_1_gsw,future_draft_pick,first_round,2022-05-14,2023-06-23,false,,,,owned_pick_start_state,GSW,2024,,,,,,"[""2022-05-14|initial_state|held""]"
