event_key,action,asset_key,asset_type,subtype,player_name,contract_expiry_year,average_annual_salary,acquisition_method,original_team,pick_year,pick_number,protections_raw,protections_structured,swap_conditions_raw,swap_conditions_structured,prior_transactions
evt_20220624_trade_chandler,acquire,player_kennedy_chandler,full_roster,draft_rights,Kennedy Chandler,,,draft_night_trade,,,,,,,,
evt_20220624_trade_chandler,relinquish,pick_2024_2_lal,future_draft_pick,second_round,,,,,LAL,2024,,,,,,
evt_20220624_trade_laravia,acquire,pick_2023_2_in_from_min_utah_hou,future_draft_pick,second_round,,,,trade,MIN/UTA/HOU,2023,,Multi-team second-round path via MIN/UTA/HOU,,,,
evt_20220624_trade_laravia,acquire,player_jake_laravia,full_roster,draft_rights,Jake LaRavia,,,draft_night_trade,,,,,,,,
evt_20220624_trade_laravia,relinquish,pick_2022_1_22_mem,future_draft_pick,first_round,,,,,MEM,2022,22,,,,,
evt_20220624_trade_laravia,relinquish,pick_2022_1_29_mem,future_draft_pick,first_round,,,,,MEM,2022,29,,,,,
evt_20220624_trade_laravia,relinquish,pick_2023_2_min,future_draft_pick,second_round,,,,,MIN,2023,,,,,,
evt_20220624_trade_melton,acquire,player_danny_green,full_roster,player_contract,Danny Green,,,trade,,,,,,,,
evt_20220624_trade_melton,acquire,player_david_roddy,full_roster,draft_rights,David Roddy,,,draft_night_trade,,,,,,,,
evt_20220624_trade_melton,relinquish,player_deanthony_melton,full_roster,player_contract,De'Anthony Melton,,,,,,,,,,,
evt_20220701_sign_laravia,modify,player_jake_laravia,full_roster,player_contract,Jake LaRavia,,,rookie_scale_signing,,,,,,,,
evt_20220701_sign_lofton,acquire,player_kenny_lofton_jr,two_way,two_way_contract,Kenny Lofton Jr.,,,two_way_signing,,,,,,,,
evt_20220701_sign_roddy,modify,player_david_roddy,full_roster,player_contract,David Roddy,,,rookie_scale_signing,,,,,,,,
evt_20220702_end_terry_two_way,terminate,player_tyrell_terry,two_way,two_way_contract,Tyrell Terry,,,end_two_way,,,,,,,,
evt_20220702_sign_vince_two_way,acquire,player_vince_williams_jr,two_way,two_way_contract,Vince Williams Jr.,,,two_way_signing,,,,,,,,
evt_20220706_ext_morant,modify,player_ja_morant,full_roster,player_contract,Ja Morant,2028,39.5,rookie_scale_extension,,,,,,,,
evt_20220706_re_sign_tyus,modify,player_tyus_jones,full_roster,player_contract,Tyus Jones,2024,15.0,re_signing,,,,,,,,
evt_20220706_sign_chandler,modify,player_kennedy_chandler,full_roster,player_contract,Kennedy Chandler,,1.8,rookie_scale_signing,,,,,,,,
evt_20220707_ext_konchar,modify,player_john_konchar,full_roster,player_contract,John Konchar,2027,6.2,extension,,,,,,,,
evt_20220923_sign_gilyard,acquire,player_jacob_gilyard,two_way,two_way_contract,Jacob Gilyard,,,two_way_signing,,,,,,,,
evt_20220923_sign_justin_bean,acquire,player_justin_bean,full_roster,player_contract,Justin Bean,,,contract_signing,,,,,,,,
evt_20221001_ext_adams,modify,player_steven_adams,full_roster,player_contract,Steven Adams,2025,12.6,veteran_extension,,,,,,,,
evt_20221010_sign_hurt,acquire,player_matthew_hurt,full_roster,player_contract,Matthew Hurt,,,camp_signing,,,,,,,,
evt_20221010_sign_mcdermott,acquire,player_sean_mcdermott,full_roster,player_contract,Sean McDermott,,,camp_signing,,,,,,,,
evt_20221010_waive_gilyard,terminate,player_jacob_gilyard,two_way,two_way_contract,Jacob Gilyard,,,waiver,,,,,,,,
evt_20221010_waive_justin_bean,terminate,player_justin_bean,full_roster,player_contract,Justin Bean,,,waiver,,,,,,,,
evt_20221013_sign_onu,acquire,player_ej_onu,full_roster,player_contract,EJ Onu,,,camp_signing,,,,,,,,
evt_20221013_sign_weems,acquire,player_romeo_weems,full_roster,player_contract,Romeo Weems,,,camp_signing,,,,,,,,
evt_20221013_waive_hurt,terminate,player_matthew_hurt,full_roster,player_contract,Matthew Hurt,,,waiver,,,,,,,,
evt_20221013_waive_mcdermott,terminate,player_sean_mcdermott,full_roster,player_contract,Sean McDermott,,,waiver,,,,,,,,
evt_20221014_sign_mathias,acquire,player_dakota_mathias,full_roster,player_contract,Dakota Mathias,,,camp_signing,,,,,,,,
evt_20221014_waive_onu,terminate,player_ej_onu,full_roster,player_contract,EJ Onu,,,waiver,,,,,,,,
evt_20221014_waive_weems,terminate,player_romeo_weems,full_roster,player_contract,Romeo Weems,,,waiver,,,,,,,,
evt_20221015_waive_mathias,terminate,player_dakota_mathias,full_roster,player_contract,Dakota Mathias,,,waiver,,,,,,,,
evt_20221015_waive_tillie,terminate,player_killian_tillie,full_roster,player_contract,Killian Tillie,,,waiver,,,,,,,,
evt_20221016_ext_clarke,modify,player_brandon_clarke,full_roster,player_contract,Brandon Clarke,2027,12.5,extension,,,,,,,,
evt_20230209_trade_kennard,acquire,pick_2026_2_swap_rights_lac,future_draft_pick,second_round,,,,trade,LAC,2026,,,,Second-round swap right acquired in Kennard trade,,
evt_20230209_trade_kennard,acquire,player_luke_kennard,full_roster,player_contract,Luke Kennard,,,trade,,,,,,,,
evt_20230209_trade_kennard,relinquish,pick_2024_2_mem_more_favorable,future_draft_pick,second_round,,,,,MEM,2024,,More favorable second-round obligation,,,,
evt_20230209_trade_kennard,relinquish,pick_2024_2_tor,future_draft_pick,second_round,,,,,TOR,2024,,,,,,
evt_20230209_trade_kennard,relinquish,pick_2027_2_mem,future_draft_pick,second_round,,,,,MEM,2027,,,,,,
evt_20230209_trade_kennard,relinquish,player_danny_green,full_roster,player_contract,Danny Green,,,,,,,,,,,
evt_20230408_conv_lofton,modify,player_kenny_lofton_jr,full_roster,player_contract,Kenny Lofton Jr.,,,conversion,,,,,,,,
evt_20230408_sign_gilyard_two_way,acquire,player_jacob_gilyard,two_way,two_way_contract,Jacob Gilyard,,,two_way_signing,,,,,,,,
evt_20230408_waive_chandler,terminate,player_kennedy_chandler,full_roster,player_contract,Kennedy Chandler,,,waiver,,,,,,,,
evt_20230622_draft_gg,acquire,player_gg_jackson,full_roster,draft_pick,GG Jackson,,,draft_pick,,,,,,,,
evt_20230622_draft_gg,relinquish,pick_2023_2_mem,future_draft_pick,second_round,,,,,MEM,2023,45,,,,,
evt_20230622_draft_tarik,acquire,player_tarik_biberovic,full_roster,draft_rights,Tarik Biberovic,,,draft_pick,,,,,,,,
evt_20230622_draft_tarik,relinquish,pick_2023_2_mem_rights_56,future_draft_pick,second_round,,,,,MEM,2023,56,,,,,
evt_20230623_trade_smart,acquire,player_marcus_smart,full_roster,player_contract,Marcus Smart,,,trade,,,,,,,,
evt_20230623_trade_smart,relinquish,pick_2024_1_gsw,future_draft_pick,first_round,,,,,GSW,2024,,,,,,
evt_20230623_trade_smart,relinquish,player_marcus_sasser,full_roster,draft_rights,Marcus Sasser,,,,,,,,,,,
evt_20230623_trade_smart,relinquish,player_tyus_jones,full_roster,player_contract,Tyus Jones,,,,,,,,,,,
evt_20230703_sign_rose,acquire,player_derrick_rose,full_roster,player_contract,Derrick Rose,,3.4,contract_signing,,,,,,,,
