event_key,event_date,event_type,event_label,description,source_id
evt_20220624_trade_chandler,2022-06-24,trade,Draft-night Trade: Kennedy Chandler rights,Memphis traded a 2024 LAL second-round pick to San Antonio for draft rights to Kennedy Chandler.,src_bref_mem_2023_txn
evt_20220624_trade_laravia,2022-06-24,trade,Draft-night Trade: Jake LaRavia rights,"Memphis traded picks #22, #29, and MIN 2023 second to Minnesota for draft rights to Jake LaRavia and a 2023 second-round pick path.",src_bref_mem_2023_txn
evt_20220624_trade_melton,2022-06-24,trade,Trade: De'Anthony Melton to PHI,Memphis traded De'Anthony Melton to Philadelphia for Danny Green and draft rights to David Roddy.,src_bref_mem_2023_txn
evt_20220701_sign_laravia,2022-07-01,contract_signing,Signing: Jake LaRavia,Memphis signed Jake LaRavia to a rookie contract.,src_realgm_txn_2023
evt_20220701_sign_lofton,2022-07-01,contract_signing,Two-way Signing: Kenny Lofton Jr.,Memphis signed Kenneth Lofton Jr. to a two-way deal.,src_realgm_txn_2023
evt_20220701_sign_roddy,2022-07-01,contract_signing,Signing: David Roddy,Memphis signed David Roddy to a rookie contract.,src_realgm_txn_2023
evt_20220702_end_terry_two_way,2022-07-02,conversion,Conversion: Ended Tyrell Terry two-way,Memphis ended Tyrell Terry's two-way contract.,src_realgm_txn_2023
evt_20220702_sign_vince_two_way,2022-07-02,contract_signing,Two-way Signing: Vince Williams Jr.,Memphis signed Vince Williams Jr. to a two-way contract.,src_realgm_txn_2023
evt_20220706_ext_morant,2022-07-06,extension,Extension: Ja Morant,Memphis signed Ja Morant to a rookie scale extension.,src_realgm_txn_2023
evt_20220706_re_sign_tyus,2022-07-06,re_signing,Re-signing: Tyus Jones,Memphis re-signed Tyus Jones.,src_realgm_txn_2023
evt_20220706_sign_chandler,2022-07-06,contract_signing,Signing: Kennedy Chandler,Memphis signed Kennedy Chandler to a rookie contract.,src_realgm_txn_2023
evt_20220707_ext_konchar,2022-07-07,extension,Extension: John Konchar,Memphis signed John Konchar to a multi-year extension.,src_realgm_txn_2023
evt_20220923_sign_gilyard,2022-09-23,contract_signing,Two-way Signing: Jacob Gilyard,Memphis signed Jacob Gilyard to a two-way contract.,src_realgm_txn_2023
evt_20220923_sign_justin_bean,2022-09-23,contract_signing,Signing: Justin Bean,Memphis signed Justin Bean.,src_realgm_txn_2023
evt_20221001_ext_adams,2022-10-01,extension,Extension: Steven Adams,Memphis signed Steven Adams to a veteran extension.,src_realgm_txn_2023
evt_20221010_sign_hurt,2022-10-10,contract_signing,Signing: Matthew Hurt,Memphis signed Matthew Hurt.,src_realgm_txn_2023
evt_20221010_sign_mcdermott,2022-10-10,contract_signing,Signing: Sean McDermott,Memphis signed Sean McDermott.,src_realgm_txn_2023
evt_20221010_waive_gilyard,2022-10-10,waiver,Waiver: Jacob Gilyard,Memphis waived Jacob Gilyard.,src_realgm_txn_2023
evt_20221010_waive_justin_bean,2022-10-10,waiver,Waiver: Justin Bean,Memphis waived Justin Bean.,src_realgm_txn_2023
evt_20221013_sign_onu,2022-10-13,contract_signing,Signing: EJ Onu,Memphis signed EJ Onu.,src_realgm_txn_2023
evt_20221013_sign_weems,2022-10-13,contract_signing,Signing: Romeo Weems,Memphis signed Romeo Weems.,src_realgm_txn_2023
evt_20221013_waive_hurt,2022-10-13,waiver,Waiver: Matthew Hurt,Memphis waived Matthew Hurt.,src_realgm_txn_2023
evt_20221013_waive_mcdermott,2022-10-13,waiver,Waiver: Sean McDermott,Memphis waived Sean McDermott.,src_realgm_txn_2023
evt_20221014_sign_mathias,2022-10-14,contract_signing,Signing: Dakota Mathias,Memphis signed Dakota Mathias.,src_realgm_txn_2023
evt_20221014_waive_onu,2022-10-14,waiver,Waiver: EJ Onu,Memphis waived EJ Onu.,src_realgm_txn_2023
evt_20221014_waive_weems,2022-10-14,waiver,Waiver: Romeo Weems,Memphis waived Romeo Weems.,src_realgm_txn_2023
evt_20221015_waive_mathias,2022-10-15,waiver,Waiver: Dakota Mathias,Memphis waived Dakota Mathias.,src_realgm_txn_2023
evt_20221015_waive_tillie,2022-10-15,waiver,Waiver: Killian Tillie,Memphis waived Killian Tillie.,src_realgm_txn_2023
evt_20221016_ext_clarke,2022-10-16,extension,Extension: Brandon Clarke,Memphis signed Brandon Clarke to an extension.,src_realgm_txn_2023
evt_20230209_trade_kennard,2023-02-09,trade,Trade: Acquired Luke Kennard,"As part of a 3-team trade, Memphis sent Danny Green and three second-round assets and acquired Luke Kennard plus 2026 second-round swap rights.",src_bref_mem_2023_txn
evt_20230408_conv_lofton,2023-04-08,conversion,Conversion: Kenny Lofton Jr. to standard contract,Memphis ended Lofton two-way and signed him to a standard contract.,src_realgm_txn_2023
