edge_id,asset_id,asset_key,asset_type,subtype,source_node_id,target_node_id,start_date,end_date,is_active_at_end,player_name,action_raw,direction_raw
asset_5510064a40bce174744eccb7_0,asset_5510064a40bce174744eccb7,player:chandler_parsons_(sf),player,,state_start,evt_6a8572cb90bd0315e97d44d3,2016-07-01,2016-07-07,false,Chandler Parsons (SF),acquire,incoming
asset_5510064a40bce174744eccb7_end,asset_5510064a40bce174744eccb7,player:chandler_parsons_(sf),player,,evt_6a8572cb90bd0315e97d44d3,state_end,2016-07-07,2026-03-08,true,Chandler Parsons (SF),acquire,incoming
asset_669ff2c77f8b83517d79de76_0,asset_669ff2c77f8b83517d79de76,player:troy_daniels_(sg),player,,state_start,evt_5ed664f5d4f8ef2bbe383746,2016-07-01,2016-07-09,false,Troy Daniels (SG),acquire,incoming
asset_669ff2c77f8b83517d79de76_1,asset_669ff2c77f8b83517d79de76,player:troy_daniels_(sg),player,,evt_5ed664f5d4f8ef2bbe383746,evt_eed64039fc2ed4d10dd501f6,2016-07-09,2016-07-12,false,Troy Daniels (SG),transform,outgoing
asset_669ff2c77f8b83517d79de76_end,asset_669ff2c77f8b83517d79de76,player:troy_daniels_(sg),player,,evt_eed64039fc2ed4d10dd501f6,state_end,2016-07-12,2026-03-08,true,Troy Daniels (SG),transform,outgoing
asset_3b18454a7d35861500b43ee6_0,asset_3b18454a7d35861500b43ee6,player:deyonta_davis_(c),player,,state_start,evt_1943b4ae8e50234564573f6b,2016-07-01,2016-07-10,false,Deyonta Davis (C),acquire,incoming
asset_3b18454a7d35861500b43ee6_end,asset_3b18454a7d35861500b43ee6,player:deyonta_davis_(c),player,,evt_1943b4ae8e50234564573f6b,state_end,2016-07-10,2026-03-08,true,Deyonta Davis (C),acquire,incoming
asset_fab781c27e704e0289ada540_0,asset_fab781c27e704e0289ada540,player:tony_wroten_jr._(sg),player,,state_start,evt_97a7883f37aa3094428eecb7,2016-07-01,2016-07-11,false,Tony Wroten Jr. (SG),relinquish,outgoing
asset_fab781c27e704e0289ada540_1,asset_fab781c27e704e0289ada540,player:tony_wroten_jr._(sg),player,,evt_97a7883f37aa3094428eecb7,evt_f90156fee50846fef775c4f9,2016-07-11,2016-08-08,false,Tony Wroten Jr. (SG),acquire,incoming
asset_fab781c27e704e0289ada540_2,asset_fab781c27e704e0289ada540,player:tony_wroten_jr._(sg),player,,evt_f90156fee50846fef775c4f9,evt_c9983d0493317a76d7dd714b,2016-08-08,2016-10-07,false,Tony Wroten Jr. (SG),relinquish,outgoing
asset_fab781c27e704e0289ada540_end,asset_fab781c27e704e0289ada540,player:tony_wroten_jr._(sg),player,,evt_c9983d0493317a76d7dd714b,state_end,2016-10-07,2026-03-08,true,Tony Wroten Jr. (SG),relinquish,outgoing
asset_4ba08ffb8c5479d70c3b1cb6_0,asset_4ba08ffb8c5479d70c3b1cb6,player:andrew_harrison_(sg),player,,state_start,evt_f0fd57e372bd21aee3da4407,2016-07-01,2016-07-12,false,Andrew Harrison (SG),acquire,incoming
asset_4ba08ffb8c5479d70c3b1cb6_1,asset_4ba08ffb8c5479d70c3b1cb6,player:andrew_harrison_(sg),player,,evt_f0fd57e372bd21aee3da4407,evt_43ba88944afb65403f4f9db1,2016-07-12,2018-11-01,false,Andrew Harrison (SG),relinquish,outgoing
asset_4ba08ffb8c5479d70c3b1cb6_end,asset_4ba08ffb8c5479d70c3b1cb6,player:andrew_harrison_(sg),player,,evt_43ba88944afb65403f4f9db1,state_end,2018-11-01,2026-03-08,true,Andrew Harrison (SG),relinquish,outgoing
asset_b18e63e90ce97f7606572752_0,asset_b18e63e90ce97f7606572752,player:james_ennis_iii_(sf),player,,state_start,evt_980bdf8e3486fc0483d5afb9,2016-07-01,2016-07-13,false,James Ennis III (SF),acquire,incoming
asset_b18e63e90ce97f7606572752_end,asset_b18e63e90ce97f7606572752,player:james_ennis_iii_(sf),player,,evt_980bdf8e3486fc0483d5afb9,state_end,2016-07-13,2026-03-08,true,James Ennis III (SF),acquire,incoming
asset_de6207a5a2aaaff20dcb27fa_0,asset_de6207a5a2aaaff20dcb27fa,player:mike_conley_(pg),player,,state_start,evt_2cda1c629d468d80e767dbe0,2016-07-01,2016-07-14,false,Mike Conley (PG),acquire,incoming
asset_de6207a5a2aaaff20dcb27fa_end,asset_de6207a5a2aaaff20dcb27fa,player:mike_conley_(pg),player,,evt_2cda1c629d468d80e767dbe0,state_end,2016-07-14,2026-03-08,true,Mike Conley (PG),acquire,incoming
asset_164de2d95eb33dd70e3506ca_0,asset_164de2d95eb33dd70e3506ca,player:wade_baldwin_(pg),player,,state_start,evt_89bf0e77b3767f0e8d765065,2016-07-01,2016-07-16,false,Wade Baldwin (PG),acquire,incoming
asset_164de2d95eb33dd70e3506ca_1,asset_164de2d95eb33dd70e3506ca,player:wade_baldwin_(pg),player,,evt_89bf0e77b3767f0e8d765065,evt_30ce1b616d7a26a83b1ff487,2016-07-16,2017-10-16,false,Wade Baldwin (PG),relinquish,outgoing
asset_164de2d95eb33dd70e3506ca_end,asset_164de2d95eb33dd70e3506ca,player:wade_baldwin_(pg),player,,evt_30ce1b616d7a26a83b1ff487,state_end,2017-10-16,2026-03-08,true,Wade Baldwin (PG),relinquish,outgoing
asset_e4109c06a4d8f923b78a3599_0,asset_e4109c06a4d8f923b78a3599,player:d.j._stephens_(sg),player,,state_start,evt_b85f742c82902fb98b4152f4,2016-07-01,2016-07-21,false,D.J. Stephens (SG),acquire,incoming
asset_e4109c06a4d8f923b78a3599_1,asset_e4109c06a4d8f923b78a3599,player:d.j._stephens_(sg),player,,evt_b85f742c82902fb98b4152f4,evt_54fe3d6bf1265a6a1c35ea52,2016-07-21,2016-10-22,false,D.J. Stephens (SG),relinquish,outgoing
asset_e4109c06a4d8f923b78a3599_2,asset_e4109c06a4d8f923b78a3599,player:d.j._stephens_(sg),player,,evt_54fe3d6bf1265a6a1c35ea52,evt_d452da736c6dea829eebb114,2016-10-22,2018-12-30,false,D.J. Stephens (SG),relinquish,outgoing
asset_e4109c06a4d8f923b78a3599_end,asset_e4109c06a4d8f923b78a3599,player:d.j._stephens_(sg),player,,evt_d452da736c6dea829eebb114,state_end,2018-12-30,2026-03-08,true,D.J. Stephens (SG),relinquish,outgoing
asset_b8cd844856ede1b25a4f5cc5_0,asset_b8cd844856ede1b25a4f5cc5,player:wayne_selden_(sg),player,,state_start,evt_a3dbb88fc5df7e164bd522ba,2016-07-01,2016-07-26,false,Wayne Selden (SG),acquire,incoming
asset_b8cd844856ede1b25a4f5cc5_1,asset_b8cd844856ede1b25a4f5cc5,player:wayne_selden_(sg),player,,evt_a3dbb88fc5df7e164bd522ba,evt_60620fb70dd0916088460592,2016-07-26,2016-10-22,false,Wayne Selden (SG),relinquish,outgoing
